ne_id,division
A4478-4A22-51,大安區
A0700-4A22-51,大安區
A2647-4A21-01,大安區
A3596-4A21-01,士林區
A3597-4A21-01,士林區
A3598-4A21-01,士林區
A3599-4A21-01,士林區
A2541-4A21-01,中正區
A3400-4A21-01,中正區
A3372-4A21-01,萬華區
A2941-4A21-01,萬華區
A0565-4A21-51,信義區
A1009-4A21-01,中正區
A1723-4A21-01,中正區
A0595-4A21-51,中正區
A3550-4A21-01,士林區
A3564-4A21-01,士林區
A2061-4A21-01,士林區
A0280-4A21-51,中正區
NNH-4A21-67,內湖區
A2631-4A51-01,士林區
A3587-4A21-01,大安區
A3574-4A21-01,文山區
A3573-4A21-01,文山區
A4170-4A22-01,中山區
A1887-4A21-52,內湖區
A4743-4A51-01,松山區
A0768-4A21-51,松山區
A5405-4A53-01,士林區
A4232-4A22-51,中山區
A4400-4A51-01,信義區
A3565-4A21-01,士林區
A2631-4A21-01,士林區
A3500-4A21-01,士林區
A0894-4A21-01,士林區
A2212-4A21-01,大同區
A2933-4A21-01,中山區
A3654-4A21-01,北投區
A4008-4A22-01,北投區
A0089-4A21-01,中正區
A2415-4A21-01,中正區
A3606-4A21-01,文山區
A1472-4A21-51,內湖區
A4890-4A51-01,士林區
A4150-4A22-51,信義區
A5144-4A51-01,中正區
A5152-4A53-01,士林區
A2689-4A21-01,中山區
A1705-4A21-01,中山區
A3547-4A21-01,中山區
A0732-4A21-01,中山區
A2720-4A21-01,中山區
A1015-4A21-01,文山區
A3408-4A21-01,文山區
A3628-4A21-01,大同區
A2467-4A21-01,大同區
A3294-4A21-01,文山區
A2336-4A21-01,文山區
A3664-4A21-01,文山區
A1467-4A21-01,大同區
A3652-4A21-01,大安區
A3549-4A21-01,信義區
A2365-4A21-01,中正區
A2393-4A21-01,中正區
A3665-4A21-01,大同區
A0307-4A21-01,大安區
A2334-4A21-01,大安區
A4821-4A22-51,松山區
A4541-4A51-01,萬華區
A3644-4A21-01,士林區
A3555-4A21-01,士林區
A3418-4A21-01,士林區
A3417-4A21-01,士林區
A0287-4A22-51,信義區
A3633-4A21-01,中山區
A3629-4A21-01,中山區
A3680-4A21-01,大安區
A1797-4A21-01,大安區
A3635-4A21-01,大安區
A0040-4A21-01,大安區
A3625-4A21-01,松山區
A2421-4A21-51,內湖區
A3488-4A21-51,內湖區
A2275-4A21-01,萬華區
A4491-4A53-01,士林區
A3683-4A21-01,南港區
A3684-4A21-01,南港區
A3007-4A21-01,大同區
A3548-4A21-01,信義區
A3675-4A21-51,內湖區
A3517-4A21-51,內湖區
A4505-4A51-01,松山區
A5355-4A21-51,松山區
A4494-4A51-01,南港區
A3567-4A21-01,萬華區
A2028-4A51-01,中山區
A2376-4A22-51,中山區
A5536-4A22-51,中山區
A2273-4A22-01,萬華區
A1938-4A21-52,北投區
A3672-4A21-51,松山區
A0305-4A21-01,內湖區
A2313-4A21-01,松山區
A2803-4A21-01,松山區
A3115-4A21-01,大安區
A2289-4A21-01,大安區
A1919-4A21-01,大安區
A0124-4A22-51,松山區
A0420-4A22-51,中正區
A3703-4A21-01,南港區
A1504-4A21-01,大安區
A2854-4A21-01,南港區
A3204-4A51-01,信義區
A3451-4A21-01,中山區
A3668-4A21-01,中山區
A3656-4A21-01,松山區
A3450-4A21-01,松山區
A3455-4A21-01,松山區
A3449-4A21-01,松山區
A3453-4A21-01,松山區
A2132-4A21-51,文山區
A2128-4A21-51,大安區
A0252-4A21-01,中正區
A3288-4A21-01,中正區
A3289-4A21-01,中正區
A2137-4A21-51,信義區
A3681-4A21-51,信義區
A3682-4A21-51,信義區
A2129-4A21-51,中正區
A0142-4A21-51,萬華區
A2130-4A21-51,文山區
A0234-4A21-51,松山區
A0263-4A21-52,內湖區
A3143-4A21-51,內湖區
A0569-4A21-51,內湖區
A3065-4A22-01,信義區
A2786-4A21-01,中山區
A0885-4A51-01,北投區
A3687-4A21-01,中正區
A1817-4A21-02,內湖區
A2750-4A51-01,士林區
A3700-4A21-01,中正區
A2710-4A21-01,中山區
A1721-4A21-01,中山區
A2442-4A21-01,中山區
A1087-4A21-01,中山區
A2769-4A21-01,中山區
A4911-4A51-01,南港區
A2735-4A51-01,萬華區
A3706-4A21-01,大安區
A0523-4A21-01,北投區
A3676-4A21-01,北投區
A0884-4A21-01,北投區
A3623-4A21-01,北投區
A3619-4A51-01,北投區
A5279-4A51-01,內湖區
A3742-4A21-01,內湖區
A3378-4A21-01,大安區
A2399-4A21-01,文山區
A5493-4A51-01,北投區
A3972-4A51-01,中山區
A3710-4A21-01,大安區
A3728-4A21-01,信義區
A5102-4A51-01,北投區
NNH-4A51-51,內湖區
A2323-4A21-01,松山區
A3067-4A21-01,內湖區
A3035-4A21-01,內湖區
A2911-4A21-01,內湖區
A3055-4A21-01,內湖區
A3073-4A21-01,內湖區
A2495-4A21-51,內湖區
A3096-4A21-01,內湖區
A3280-4A21-01,內湖區
A3231-4A21-01,內湖區
A3054-4A21-01,內湖區
A5507-4A51-51,信義區
A2907-4A21-01,內湖區
A2906-4A21-01,內湖區
A3053-4A21-01,內湖區
A3029-4A21-01,內湖區
A2472-4A21-01,中山區
A0585-4A21-51,信義區
NNH-4A21-53,內湖區
A4061-4A22-01,北投區
A3155-4A21-01,中山區
A3765-4A21-01,中正區
A3147-4A22-51,內湖區
A3752-4A21-51,南港區
A1617-4A22-01,中正區
A3763-4A21-01,中山區
A3377-4A21-01,中山區
A5668-4A22-51,松山區
A4665-4A22-51,北投區
A4667-4A51-01,士林區
A4217-4A21-51,內湖區
A2657-4A22-01,萬華區
A4826-4A51-01,中正區
A3747-4A22-01,信義區
A3315-4A22-01,大同區
A3172-4A21-01,中山區
A2613-4A22-01,大同區
A3823-4A21-51,士林區
A1649-4A21-51,中正區
